"","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency"
"79",49,49,"Matthew Stafford","QB","DET",9,34,72,49.8627451,7.677365786,37,11,0.226615928388608
"80",50,50,"Ben Tate","RB","CLE",4,24,83,51.25490196,12.16849538,64,11,0.496485751014207
"81",51,51,"Torrey Smith","WR","BAL",11,33,75,51.39215686,9.988382333,65,11,0.45026404897758
"82",52,52,"Shane Vereen","RB","NE",10,26,77,52.19607843,12.3129449,57,11,0.464807692307692
"83",53,53,"Percy Harvin","WR","SEA",4,31,120,55.33333333,15.08234478,50,11,0.38705244773206
"84",54,54,"Andrew Luck","QB","IND",10,35,80,56.07843137,9.751506947,42,11,0.228755760368664
"85",55,55,"DeSean Jackson","WR","WAS",10,35,94,57.92156863,11.47861291,51,11,0.392950783933632
"86",56,56,"Chris Johnson","RB","NYJ",11,30,99,61.68627451,13.9600132,63,12,0.350540783438701
"87",57,57,"Jordan Cameron","TE","CLE",4,32,115,63.03921569,16.73901253,59,12,0.597247224722472
"88",58,58,"Mike Wallace","WR","MIA",5,39,97,63.15686275,12.29597822,78,12,0.387962747831475
"89",59,59,"Ray Rice","RB","BAL",11,20,110,63.64705882,17.86860927,67,12,0.338644264194668
"90",60,60,"Matt Ryan","QB","ATL",9,38,115,63.88235294,12.98513035,61,12,0.207302836242906
"91",61,61,"Ty Hilton","WR","IND",10,42,112,67.45098039,16.16497512,68,12,0.468011152075423
"92",62,62,"Tom Brady","QB","NE",10,40,96,65.66,10.25009268,52,12,0.218940092938986
"93",63,63,"Nick Foles","QB","PHI",7,44,115,69.03921569,14.28692091,56,12,0.371862588543586
"94",64,64,"Marques Colston","WR","NO",6,30,105,69.68627451,14.14142877,75,12,0.384498221678509
"95",65,65,"Vernon Davis","TE","SF",8,34,103,70.03921569,15.25979054,46,12,0.455057372697945
"96",66,66,"Kendall Wright","WR","TEN",9,44,97,71.03921569,12.80925031,84,12,0.307909152064581
"97",67,67,"Trent Richardson","RB","IND",10,35,138,74.92156863,23.44023952,70,13,0.391086884317059
"98",68,68,"Eric Decker","WR","NYJ",11,49,100,75.05882353,13.02247193,90,13,0.466385563259683
"99",69,69,"Wes Welker","WR","DEN",4,39,191,76.07843137,27.08580638,53,13,0.32117344449027
"100",70,70,"Jeremy Maclin","WR","PHI",7,36,130,76.43137255,16.69596042,73,13,0.434033256463162
"101",71,71,"Bishop Sankey","RB","TEN",9,25,199,71.44897959,31.56209379,62,12,NA
"102",72,72,"Tony Romo","QB","DAL",11,51,118,76.98039216,13.76624202,79,13,0.223378986203063
"103",73,73,"Lamar Miller","RB","MIA",5,45,116,74.9,17.3542502,95,13,0.438268792710706
