"","X","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency","FPTS","FPTSperG"
"75",75,45,45,"Michael Floyd","WR","ARI",4,29,71,48.05882353,9.191666654,54,11,0.44038135,151.1,9.4
"76",76,46,46,"Michael Crabtree","WR","SF",8,25,84,48.31372549,12.72713666,45,11,0.420718537,159.9,10
"77",77,47,47,"Joique Bell","RB","DET",9,28,81,49.47058824,11.43841642,66,11,0.389313606,166.4,10.4
"78",78,48,48,"Cordarrelle Patterson","WR","MIN",10,27,82,49.54901961,10.65375516,49,11,0.513078592,152.7,9.5
"79",79,49,49,"Matthew Stafford","QB","DET",9,34,72,49.8627451,7.677365786,37,11,0.226615928,305.8,19.1
"80",80,50,50,"Ben Tate","RB","CLE",4,24,83,51.25490196,12.16849538,64,11,0.496485751,155.5,9.7
"81",81,51,51,"Torrey Smith","WR","BAL",11,33,75,51.39215686,9.988382333,65,11,0.450264049,143.7,9
"82",82,52,52,"Shane Vereen","RB","NE",10,26,77,52.19607843,12.3129449,57,11,0.464807692,160.9,10.1
"83",83,53,53,"Percy Harvin","WR","SEA",4,31,120,55.33333333,15.08234478,50,11,0.387052448,143.7,9
"84",84,54,54,"Andrew Luck","QB","IND",10,35,80,56.07843137,9.751506947,42,11,0.22875576,302.4,18.9
"85",85,55,55,"DeSean Jackson","WR","WAS",10,35,94,57.92156863,11.47861291,51,11,0.392950784,141,8.8
"86",86,56,56,"Chris Johnson","RB","NYJ",11,30,99,61.68627451,13.9600132,63,12,0.350540783,158.8,9.9
"87",87,57,57,"Jordan Cameron","TE","CLE",4,32,115,63.03921569,16.73901253,59,12,0.597247225,123,7.7
"88",88,58,58,"Mike Wallace","WR","MIA",5,39,97,63.15686275,12.29597822,78,12,0.387962748,134.5,8.4
"89",89,59,59,"Ray Rice","RB","BAL",11,20,110,63.64705882,17.86860927,67,12,0.338644264,162.2,10.1
"90",90,60,60,"Matt Ryan","QB","ATL",9,38,115,63.88235294,12.98513035,61,12,0.207302836,289.9,18.1
"91",91,61,61,"Ty Hilton","WR","IND",10,42,112,67.45098039,16.16497512,68,12,0.468011152,135.4,8.5
"92",92,62,62,"Tom Brady","QB","NE",10,40,96,65.66,10.25009268,52,12,0.218940093,285.8,17.9
"93",93,63,63,"Nick Foles","QB","PHI",7,44,115,69.03921569,14.28692091,56,12,0.371862589,298.4,18.6
